;0.000000;0.010000;0.020000;0.030000;0.040000;0.050000;0.060000;0.070000;0.080000;0.090000
0.000000;0.500000;0.503990;0.507980;0.511970;0.515950;0.519940;0.523920;0.527900;0.531880;0.535860
0.100000;0.539830;0.543800;0.547760;0.551720;0.555670;0.559620;0.563560;0.567490;0.571420;0.575350
0.200000;0.579260;0.583170;0.587060;0.590950;0.594830;0.598710;0.602570;0.606420;0.610260;0.614090
0.300000;0.617910;0.621720;0.625520;0.629300;0.633070;0.636830;0.640580;0.644310;0.648030;0.651730
0.400000;0.655420;0.659100;0.662760;0.666400;0.670030;0.673640;0.677240;0.680820;0.684390;0.687930
0.500000;0.691460;0.694970;0.698470;0.701940;0.705400;0.708840;0.712260;0.715660;0.719040;0.722400
0.600000;0.725750;0.729070;0.732370;0.735650;0.738910;0.742150;0.745370;0.748570;0.751750;0.754900
0.700000;0.758040;0.761150;0.764240;0.767300;0.770350;0.773370;0.776370;0.779350;0.782300;0.785240
0.800000;0.788140;0.791030;0.793890;0.796730;0.799550;0.802340;0.805110;0.807850;0.810570;0.813270
0.900000;0.815940;0.818590;0.821210;0.823810;0.826390;0.828940;0.831470;0.833980;0.836460;0.838910
1.000000;0.841340;0.843750;0.846140;0.848490;0.850830;0.853140;0.855430;0.857690;0.859930;0.862140
1.100000;0.864330;0.866500;0.868640;0.870760;0.872860;0.874930;0.876980;0.879000;0.881000;0.882980
1.200000;0.884930;0.886860;0.888770;0.890650;0.892510;0.894350;0.896170;0.897960;0.899730;0.901470
1.300000;0.903200;0.904900;0.906580;0.908240;0.909880;0.911490;0.913090;0.914660;0.916210;0.917740
1.400000;0.919240;0.920730;0.922200;0.923640;0.925070;0.926470;0.927850;0.929220;0.930560;0.931890
1.500000;0.933190;0.934480;0.935740;0.936990;0.938220;0.939430;0.940620;0.941790;0.942950;0.944080
1.600000;0.945200;0.946300;0.947380;0.948450;0.949500;0.950530;0.951540;0.952540;0.953520;0.954490
1.700000;0.955430;0.956370;0.957280;0.958180;0.959070;0.959940;0.960800;0.961640;0.962460;0.963270
1.800000;0.964070;0.964850;0.965620;0.966380;0.967120;0.967840;0.968560;0.969260;0.969950;0.970620
1.900000;0.971280;0.971930;0.972570;0.973200;0.973810;0.974410;0.975000;0.975580;0.976150;0.976700
2.000000;0.977250;0.977780;0.978310;0.978820;0.979320;0.979820;0.980300;0.980770;0.981240;0.981690
2.100000;0.982140;0.982570;0.983000;0.983410;0.983820;0.984220;0.984610;0.985000;0.985370;0.985740
2.200000;0.986100;0.986450;0.986790;0.987130;0.987450;0.987780;0.988090;0.988400;0.988700;0.988990
2.300000;0.989280;0.989560;0.989830;0.990100;0.990360;0.990610;0.990860;0.991110;0.991340;0.991580
2.400000;0.991800;0.992020;0.992240;0.992450;0.992660;0.992860;0.993050;0.993240;0.993430;0.993610
2.500000;0.993790;0.993960;0.994130;0.994300;0.994460;0.994610;0.994770;0.994920;0.995060;0.995200
2.600000;0.995340;0.995470;0.995600;0.995730;0.995850;0.995980;0.996090;0.996210;0.996320;0.996430
2.700000;0.996530;0.996640;0.996740;0.996830;0.996930;0.997020;0.997110;0.997200;0.997280;0.997360
2.800000;0.997440;0.997520;0.997600;0.997670;0.997740;0.997810;0.997880;0.997950;0.998010;0.998070
2.900000;0.998130;0.998190;0.998250;0.998310;0.998360;0.998410;0.998460;0.998510;0.998560;0.998610
3.000000;0.998650;0.998690;0.998740;0.998780;0.998820;0.998860;0.998890;0.998930;0.998960;0.999000
